title,description,published,link
"Ce week-end, comptez les oiseaux dans votre jardin avec la Ligue pour la Protection des oiseaux","Les 29 et 30 janvier, la LPO organise un comptage national des oiseaux des jardins. Cette opération, à la portée de tous, vise à observer si les oiseaux se comportent toujours de la même manière d'années en années.","Sat, 29 Jan 2022 17:13:30 +0100",https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/ce-week-end-comptez-les-oiseaux-dans-votre-jardin-avec-la-ligue-pour-la-protection-des-oiseaux-2438338.html#xtor=RSS-3-[lestitres]
"Dans les coulisses du centre de conservation du Louvre, un coffre-fort géant et ultra-sécurisé installé à Liévin","C’est un immense bâtiment aux allures de bunker semi-enterré à quelques encablures du Louvre-Lens. Un lieu formellement interdit aux visiteurs et sous très haute surveillance où sont conservées les réserves du plus grand musée du monde, afin de les protéger d’une éventuelle crue de la Seine. Une équipe de France 3 Hauts-de-France a pu exceptionnellement y pénétrer.","Sat, 29 Jan 2022 16:31:13 +0100",https://www.francetvinfo.fr/culture/arts-expos/louvre/dans-les-coulisses-du-centre-de-conservation-du-louvre-un-coffre-fort-geant-et-ultra-securise-installe-a-lievin_4934011.html#xtor=RSS-3-[lestitres]
"VIDEO. ""13h15 le samedi"" : Najeebullah Bina, chirurgien afghan et espoir des cœurs d'enfants","Le chirurgien afghan Najeebullah Bina est membre de l’association La Chaîne de l’espoir, fondée par le professeur Alain Deloche, qui a ""pour vocation de renforcer les systèmes de santé pour donner à chacun, et en particulier aux enfants, les mêmes chances de survie et de développement"". Parti dans l'urgence, le docteur Bina vit désormais en Europe, entre Paris et Prague... Le ""13h15"" est allé à sa rencontre à Bamako où il opère...","Sat, 29 Jan 2022 14:26:27 +0100",https://www.francetvinfo.fr/replay-magazine/france-2/13h15/13h15-du-samedi-29-janvier-2022_4913497.html#xtor=RSS-3-[lestitres]
"Coupe de France : exploit de Versailles, qui élimine Toulouse et rejoint les quarts de finale","Le club pensionnaire de National 2, équivalent de la quatrième division, va disputer le premier quart de finale de Coupe de France de son histoire.","Sat, 29 Jan 2022 18:26:27 +0100",https://www.francetvinfo.fr/sports/foot/coupe-de-france/coupe-de-france-exploit-de-versailles-qui-elimine-toulouse-1-0-et-rejoint-les-quarts-de-finale_4934107.html#xtor=RSS-3-[lestitres]
CAN 2022 : le Cameroun rallie les demi-finales après sa victoire facile contre la Gambie,"Supérieurs et jamais inquiétés, les Camerounais ont mis fin au beau parcours de la Gambie, samedi.","Sat, 29 Jan 2022 19:15:03 +0100",https://www.francetvinfo.fr/sports/foot/can/direct-gambie-cameroun-suivez-le-premier-quart-de-finale-de-la-can-2022_4931903.html#xtor=RSS-3-[lestitres]
Open d'Australie : cinq choses à savoir avant la finale entre Rafael Nadal et Daniil Medvedev,Les deux hommes s'affrontent dimanche pour la première fois depuis novembre 2020.,"Sat, 29 Jan 2022 16:44:46 +0100",https://www.francetvinfo.fr/sports/tennis/open-d-australie/open-d-australie-5-choses-a-savoir-avant-la-finale-entre-rafael-nadal-et-daniil-medvedev_4932609.html#xtor=RSS-3-[lestitres]
Moselle : la permanence parlementaire de la députée LREM Isabelle Rauch vandalisée,"L'élue de la majorité, régulièrement victimes d'attaques sur les réseaux sociaux, va porter plainte.","Sat, 29 Jan 2022 18:42:27 +0100",https://www.francetvinfo.fr/politique/la-republique-en-marche/moselle-la-permanence-parlementaire-de-la-deputee-lrem-isabelle-rauch-vandalisee_4934127.html#xtor=RSS-3-[lestitres]
Violences conjugales : avertir la victime de la sortie de prison d'un conjoint devient obligatoire le 1er février,"Cette mesure a été décidée par un décret pris un mois après la médiatisation d'un féminicide lors duquel la victime, l'ex-compagne d'un homme violent, n'avait pas été prévenue de sa sortie de prison. ","Sat, 29 Jan 2022 13:17:14 +0100",https://www.francetvinfo.fr/societe/feminicides/violences-conjugales-aviser-la-victime-de-la-sortie-de-prison-du-conjoint-devient-obligatoire-des-mardi_4933957.html#xtor=RSS-3-[lestitres]
"Dissolution de ""Nantes révoltée"" : la Ligue des droits de l'homme réclame l'interruption du processus","Le groupe d'extrême gauche est accusé par Gérald Darmanin d'avoir diffusé des ""appels à la violence"". Le gouvernement veut ""réduire au silence les voix de contestation politique"", pointe l'association.","Sat, 29 Jan 2022 17:20:25 +0100",https://www.francetvinfo.fr/politique/gerald-darmanin/dissolution-de-nantes-revoltee-la-ligue-des-droits-de-l-homme-reclame-l-interruption-du-processus_4934053.html#xtor=RSS-3-[lestitres]
"GRAND ENTRETIEN. Addictions, santé mentale… Comment les séries ""Euphoria"" et ""13 Reasons Why"" influencent-elles leur public ?","Malgré les messages de prévention qui les entourent, ces séries mettant en scène des adolescents en souffrance sont parfois accusées d'inciter les spectateurs à se mettre en danger. Franceinfo a interrogé Jean-Victor Blanc, psychiatre spécialiste des addictions, pour comprendre l'effet de ces fictions sur le public.","Sat, 29 Jan 2022 09:05:41 +0100",https://www.francetvinfo.fr/sante/psycho-bien-etre/sante-mentale/grand-entretien-addictions-sante-mentale-comment-les-series-euphoria-et-13-reasons-why-influencent-elles-leur-public_4928433.html#xtor=RSS-3-[lestitres]
"Mercato : Ikoné, Vanderson, Berg, Marcelo... Retrouvez tous les transferts en Ligue 1, club par club",Le marché des transferts s'étend jusqu'au 31 janvier prochain.,"Sat, 29 Jan 2022 16:52:50 +0100",https://www.francetvinfo.fr/sports/foot/ligue-1/mercato-ikone-vanderson-rafinha-retrouvez-tous-les-transferts-en-ligue-1-club-par-club_4903051.html#xtor=RSS-3-[lestitres]
"""Je m'en rends compte, c'est totalement fou"" : six musées parisiens rendent hommage au couturier Yves Saint Laurent","L’exposition ""Yves Saint Laurent aux Musées"" met en lumière le dialogue que le couturier entretenait avec l’art et la littérature. Un parcours dans les collections permanentes de six musées parisiens - le Centre Pompidou, le Musée d’Art Moderne de Paris, le Musée du Louvre, le Musée d’Orsay, le Musée National Picasso-Paris et le Musée Yves Saint Laurent Paris - est proposé à partir du 29 janvier 2022.","Sat, 29 Jan 2022 19:29:35 +0100",https://www.francetvinfo.fr/culture/mode/yves-saint-laurent/je-m-en-rends-compte-c-est-totalement-fou-six-musees-parisiens-rendent-hommage-au-couturier-yves-saint-laurent-des-le-29-janvier_4881823.html#xtor=RSS-3-[lestitres]
Désinformation sur le Covid-19 : Joni Mitchell suit Neil Young et retire sa musique de Spotify,"A la suite de Neil Young, la chanteuse Joni Mitchell a décidé de retirer sa musique de la plateforme de streaming Spotify, accusée de diffuser de la désinformation sur le Covid-19 via un podcast controversé.","Sat, 29 Jan 2022 11:44:25 +0100",https://www.francetvinfo.fr/culture/musique/desinformation-sur-le-covid-19-joni-mitchell-suit-neil-young-et-retire-sa-musique-de-spotify_4933873.html#xtor=RSS-3-[lestitres]
"Grève des éboueurs à Marseille : malgré l'ordre de débloquer, la situation s'enlise après dix jours de mobilisation",Le tribunal administratif de Marseille a ordonné samedi la levée des blocages des centres de transfert et des garages où sont entreposés les camions bennes. ,"Sat, 29 Jan 2022 15:52:59 +0100",https://www.francetvinfo.fr/france/provence-alpes-cote-d-azur/greve-des-eboueurs-a-marseille-malgre-l-ordre-de-debloquer-la-situation-s-enlise-apres-dix-jours-de-mobilisation_4934003.html#xtor=RSS-3-[lestitres]
